FE_REPORTE,CAMAS_ADULTOS_COVID,CAMAS_ADULTOS_NOCOVID,CAMAS_ADULTOS_OCC,CAMAS_ADULTOS_DISP,CAMAS_ADULTOS_TOTAL,CAMAS_ICU_COVID,CAMAS_ICU_NOCOVID,CAMAS_ICU_OCC,CAMAS_ICU_DISP,CAMAS_ICU_TOTAL,CAMAS_PED_COVID,CAMAS_PED_NOCOVID,CAMAS_PED_OCC,CAMAS_PED_DISP,CAMAS_PED_TOTAL,CAMAS_PICU_COVID,CAMAS_PICU_NOCOVID,CAMAS_PICU_OCC,CAMAS_PICU_DISP,CAMAS_PICU_TOTAL,VENT_ADULTOS_COVID,VENT_ADULTOS_NOCOVID,VENT_ADULTOS_OCC,VENT_ADULTOS_DISP,VENT_ADULTOS_TOTAL,VENT_PED_COVID,VENT_PED_NOCOVID,VENT_PED_OCC,VENT_PED_DISP,VENT_PED_TOTAL,CUARTOS_PRESNEG_OCC,CUARTOS_PRESNEG_DISP,CUARTOS_PRESNEG_TOTAL,VENT_ORD,VENT_REC,VENT_ENTR,CONVALECIENTES
"2021-06-04 00:00:00",69,4212,4281,2702,6983,20,434,454,190,644,19,533,552,751,1303,1,37,38,48,86,11,299,310,931,1241,1,36,37,100,137,222,335,557,194,161,161,120217
"2021-06-05 00:00:00",59,4105,4164,2727,6891,18,411,429,208,637,27,507,534,721,1255,1,31,32,56,88,9,292,301,927,1228,1,33,34,110,144,222,341,563,194,161,161,120271
"2021-06-06 00:00:00",60,3942,4002,2832,6834,21,399,420,220,640,31,468,499,754,1253,0,42,42,57,99,9,289,298,959,1257,0,32,32,102,134,219,337,556,194,161,161,120278
"2021-06-07 00:00:00",71,3862,3933,2933,6866,16,403,419,211,630,24,483,507,765,1272,0,37,37,49,86,6,318,324,965,1289,0,33,33,101,134,219,344,563,194,161,161,120435
"2021-06-08 00:00:00",60,4179,4239,2745,6984,17,432,449,180,629,30,531,561,733,1294,0,41,41,46,87,7,330,337,945,1282,0,32,32,101,133,223,337,560,194,161,161,120570
"2021-06-09 00:00:00",58,4210,4268,2566,6834,18,437,455,175,630,28,546,574,744,1318,0,37,37,47,84,7,338,345,931,1276,0,34,34,101,135,222,333,555,194,161,161,120731
"2021-06-10 00:00:00",48,4347,4395,2544,6939,13,430,443,186,629,26,541,567,730,1297,0,35,35,48,83,5,318,323,964,1287,0,35,35,101,136,218,332,550,194,161,161,120824
"2021-06-11 00:00:00",45,4319,4364,2595,6959,12,435,447,184,631,22,520,542,737,1279,0,41,41,45,86,6,320,326,973,1299,0,41,41,102,143,221,327,548,194,161,161,120929
"2021-06-12 00:00:00",48,4117,4165,2724,6889,11,430,441,183,624,24,465,489,732,1221,0,35,35,48,83,5,317,322,963,1285,0,34,34,101,135,223,321,544,194,161,161,120966
"2021-06-13 00:00:00",39,4072,4111,2733,6844,12,430,442,187,629,21,443,464,704,1168,0,37,37,44,81,5,311,316,1003,1319,0,31,31,102,133,218,319,537,194,161,161,120971
"2021-06-14 00:00:00",37,4125,4162,2757,6919,10,429,439,184,623,21,454,475,787,1262,0,38,38,46,84,3,311,314,949,1263,0,32,32,101,133,211,333,544,194,161,161,121090
"2021-06-15 00:00:00",50,4296,4346,2633,6979,10,439,449,175,624,32,480,512,770,1282,0,41,41,41,82,3,331,334,951,1285,0,27,27,100,127,229,323,552,194,161,161,121174
"2021-06-16 00:00:00",43,4497,4540,2484,7024,10,453,463,176,639,30,493,523,771,1294,0,40,40,46,86,3,342,345,918,1263,0,30,30,100,130,223,323,546,194,161,161,121239
"2021-06-17 00:00:00",48,4497,4545,2481,7026,16,448,464,175,639,31,502,533,759,1292,0,40,40,51,91,3,367,370,933,1303,0,30,30,99,129,208,336,544,194,161,161,121325
"2021-06-18 00:00:00",37,4351,4388,2507,6895,13,441,454,168,622,17,524,541,766,1307,1,38,39,51,90,3,334,337,933,1270,1,30,31,97,128,219,346,565,194,161,161,121382
"2021-06-19 00:00:00",42,4138,4180,2702,6882,13,428,441,189,630,23,500,523,753,1276,1,31,32,57,89,5,320,325,939,1264,1,31,32,102,134,201,364,565,194,161,161,121414
"2021-06-20 00:00:00",39,3875,3914,2965,6879,13,418,431,194,625,35,501,536,772,1308,1,30,31,54,85,5,302,307,962,1269,1,33,34,100,134,204,351,555,194,161,161,121418
"2021-06-21 00:00:00",35,3823,3858,2967,6825,11,405,416,214,630,24,490,514,771,1285,1,31,32,52,84,5,295,300,973,1273,0,30,30,100,130,215,339,554,194,161,161,121443
"2021-06-22 00:00:00",47,4211,4258,2690,6948,10,409,419,218,637,14,509,523,763,1286,1,36,37,49,86,5,293,298,994,1292,0,30,30,100,130,234,326,560,194,161,161,121505
"2021-06-23 00:00:00",49,4303,4352,2525,6877,10,417,427,200,627,21,541,562,740,1302,0,36,36,51,87,5,302,307,988,1295,0,32,32,106,138,231,333,564,194,161,161,121547
